id,name_zh,name_en,election_type,person_id,matched,year,cacode,constituency_id,age,political_affiliation,camp,candidate_number,occupation,nominated_at,nominate_status,votes,is_won,fb_id,ig_id,tags,occupation_zh,occupation_en,political_affiliation_zh,political_affiliation_en,electoral_message_zh,electoral_message_en,email_or_website
1,李萬權,,ordinary,2108,1,1999,A01,1,38,民建聯,建制,,電訊工程經理,,,546,FALSE,n/a,n/a,,電訊工程經理,,民建聯,,,,
2,阮品強,YUEN BUN KEUNG,ordinary,2181,1,1999,A01,1,56,民主黨,民主,,中學教師,,,1179,TRUE,n/a,n/a,,中學教師,,民主黨,,,,
3,王敏賢,,ordinary,2183,1,1999,A02,2,54,港進聯,建制,,大學高級講師,,,851,FALSE,n/a,n/a,,大學高級講師,,港進聯,,,,
4,郭家麒,KWOK KA KI,ordinary,2109,1,1999,A02,2,38,,民主,,醫生,,,1074,TRUE,drkwokkaki,dr.kwok_ka_ki,,醫生,,,,,,
5,蘇麗仙,,ordinary,2158,1,1999,A03,3,36,民建聯,建制,,保險營業經理,,,402,FALSE,n/a,n/a,,保險營業經理,,民建聯,,,,
6,鄭麗琼,CHENG LAI KING,ordinary,2250,1,1999,A03,3,40,民主黨,民主,,社區工作主任,,,1014,TRUE,2125828711010749,n/a,,社區工作主任,,民主黨,,,,
7,田北俊,,ordinary,2270,1,1999,A04,4,52,自由黨,建制,,公司主席,,,774,TRUE,tienjames,n/a,,公司主席,,自由黨,,,,
8,梁永安,LEUNG WING ON LOUIS,ordinary,2182,1,1999,A04,4,39,,建制,,執業會計師,,,412,FALSE,n/a,n/a,,執業會計師,,,,,,
9,陳捷貴,CHAN CHIT KWAI,ordinary,2228,1,1999,A05,5,50,,建制,,大學宿舍經理,,,,TRUE,StephenChanChitKwai,n/a,,大學宿舍經理,,,,,,
10,楊位款,YEUNG WAI FOON,ordinary,2106,1,1999,A06,6,43,民建聯,建制,,銀行副經理,,,1217,TRUE,n/a,n/a,,銀行副經理,,民建聯,,,,
11,陳國樑,,ordinary,2184,1,1999,A06,6,33,民主黨,民主,,市政局議員,,,1079,FALSE,n/a,n/a,,市政局議員,,民主黨,,,,
12,莫佩嫺,,ordinary,2272,1,1999,A07,7,26,,民主,,社區工作主任,,,1141,FALSE,n/a,n/a,,社區工作主任,,,,,,
13,葉國謙,IP KWOK HIM,ordinary,2180,1,1999,A07,7,48,民建聯,建制,,校長助理,,,1552,TRUE,n/a,n/a,,校長助理,,民建聯,,,,
14,陳特楚,CHAN TAK CHOR,ordinary,2157,1,1999,A08,8,54,自由黨,建制,,行政董事,,,,TRUE,n/a,n/a,,行政董事,,自由黨,,,,
15,林其盛,LAM KEE SHING,ordinary,2110,1,1999,A09,9,29,民主黨,民主,,專業保險顧問,,,1157,FALSE,n/a,n/a,,專業保險顧問,,民主黨,,,,
16,黃哲民,WONG CHIT MAN,ordinary,2226,1,1999,A09,9,41,民建聯,建制,,銀行副經理,,,1262,TRUE,n/a,n/a,,銀行副經理,,民建聯,,,,
17,陳財喜,CHAN CHOI HI,ordinary,2227,1,1999,A10,10,43,,其他,,董事,,,1309,TRUE,ChanChoiHi,chanchoihi,,董事,,,,,,
18,黃澤禮,,ordinary,2271,1,1999,A10,10,26,民主黨,民主,,會計秘書,,,762,FALSE,n/a,n/a,,會計秘書,,民主黨,,,,
19,李躍進,,ordinary,2252,1,1999,A10,10,41,民建聯,建制,,公司東主,,,632,FALSE,n/a,n/a,,公司東主,,民建聯,,,,
20,黎國雄,LAI KWOK HUNG,ordinary,2253,1,1999,A11,11,41,,其他,,教育行政人員,,,1248,TRUE,n/a,n/a,,教育行政人員,,,,,,
21,陳耀強,CHAN YIU KEUNG,ordinary,2358,1,1999,A11,11,48,民建聯,建制,,行政人員,,,1243,FALSE,n/a,n/a,,行政人員,,民建聯,,,,
22,袁照興,,ordinary,2249,1,1999,A12,12,46,民建聯,建制,,行政人員,,,688,FALSE,n/a,n/a,,行政人員,,民建聯,,,,
23,甘乃威,KAM NAI WAI,ordinary,2159,1,1999,A12,12,39,民主黨,民主,,社區工作主任,,,1468,TRUE,kamnaiwaidphk,,,社區工作主任,,民主黨,,,,
24,鄭志強,,ordinary,2273,1,1999,A13,13,31,民建聯,建制,,議員助理,,,487,FALSE,n/a,n/a,,議員助理,,民建聯,,,,
25,何俊麒,HO CHUN KI,ordinary,2107,1,1999,A13,13,42,民主黨,民主,,見習律師,,,898,TRUE,n/a,n/a,,見習律師,,民主黨,,,,
26,唐偉源,TONG WAI YUEN,ordinary,2289,1,1999,A14,14,36,民建聯,建制,,行政人員,,,739,FALSE,n/a,n/a,,行政人員,,民建聯,,,,
27,梁耀祖,LEUNG YIU CHO HENRY,ordinary,2187,1,1999,A14,14,26,民主黨,民主,,見習律師,,,1063,TRUE,n/a,n/a,,見習律師,,民主黨,,,,
28,戴卓賢,TAI CHEUK YIN LESLIE SPENCER,ordinary,2160,1,1999,A15,15,38,一二三,民主,,文化出版,,,1096,TRUE,n/a,n/a,,文化出版,,一二三,,,,
29,溫祖堯,,ordinary,2255,1,1999,A15,15,40,民主黨,民主,,印刷商人,,,983,FALSE,n/a,n/a,,印刷商人,,民主黨,,,,
30,黃漢清,,ordinary,2186,1,1999,B01,16,46,華革會,建制,,成本工程師,,,,TRUE,n/a,n/a,,成本工程師,,華革會,,,,
31,鄭琴淵,TANG KING YUNG ANNA,ordinary,2185,1,1999,B02,17,53,民建聯,建制,,全職議員,,,,TRUE,n/a,n/a,,全職議員,,民建聯,,,,
32,孫啟昌,SUEN KAI CHEONG,ordinary,2229,1,1999,B03,18,45,民建聯,建制,,社團活動中心總幹事,,,,TRUE,n/a,n/a,,社團活動中心總幹事,,民建聯,,,,
33,李兆富,,ordinary,2161,1,1999,B04,19,23,自由黨,建制,,議員助理,,,289,FALSE,n/a,n/a,,議員助理,,自由黨,,,,
34,謝永齡,TSE WING LING JOHN,ordinary,2251,1,1999,B04,19,45,民主黨,民主,,大學副教授,,,783,TRUE,n/a,n/a,,大學副教授,,民主黨,,,,
35,李均頤,LEE KWUN YEE KENNY,ordinary,2288,1,1999,B04,19,30,民建聯,建制,,公司常務董事,,,630,FALSE,154020705543931,,,公司常務董事,,民建聯,,,,
36,李慶偉,LEE HING WAI BONSON,ordinary,2357,1,1999,B05,20,40,民主黨,民主,,社會工作者,,,877,TRUE,n/a,n/a,,社會工作者,,民主黨,,,,
37,阮鎮泉,YUEN CHUN CHUEN,ordinary,2230,1,1999,B05,20,49,民建聯,建制,,酒店經理,,,801,FALSE,n/a,n/a,,酒店經理,,民建聯,,,,
38,曹聖玉,"TSO Shing-yuk, Alice",ordinary,2163,1,1999,B06,21,50,,建制,,護理總經理,,,,TRUE,n/a,n/a,,護理總經理,,,,,,
39,黃英琦,WONG ADA YING KAY,ordinary,2254,1,1999,B07,22,40,自由黨,建制,,律師,,,883,TRUE,adawongyingkay,,,律師,,自由黨,,,,
40,龐可榮,PONG HO WING,ordinary,2274,1,1999,B07,22,52,,其他,,牙科醫生,,,398,FALSE,n/a,n/a,,牙科醫生,,,,,,
41,吳錦津,NG KAM CHUN,ordinary,2256,1,1999,B08,23,48,,建制,,公司董事,,,1398,TRUE,n/a,n/a,,公司董事,,,,,,
42,鄧平,,ordinary,2290,1,1999,B08,23,48,民主黨,民主,,市務經理,,,285,FALSE,n/a,n/a,,市務經理,,民主黨,,,,
43,馮國輝,,ordinary,2360,1,1999,B09,24,46,,建制,,專欄作家,,,766,TRUE,n/a,n/a,,專欄作家,,,,,,
44,李建賢,LI KIN YIN,ordinary,2190,1,1999,B09,24,46,民主黨,民主,,社會工作,,,318,FALSE,n/a,n/a,,社會工作,,民主黨,,,,
45,周梁淑怡,,ordinary,2188,1,1999,B09,24,54,自由黨,建制,,立法會議員,,,683,FALSE,chowselina,,,立法會議員,,自由黨,,,,
46,林貝聿嘉,,ordinary,2111,1,1999,B10,25,71,,建制,,全職議員,,,,TRUE,n/a,n/a,,全職議員,,,,,,
47,蘇繼權,,ordinary,2359,1,1999,B11,26,48,民主黨,民主,,會計顧問,,,540,FALSE,n/a,n/a,,會計顧問,,民主黨,,,,
48,盧天送,LO TIN SOWN,ordinary,2231,1,1999,B11,26,54,民建聯,建制,,銀行副經理,,,1275,TRUE,n/a,n/a,,銀行副經理,,民建聯,,,,
49,羅友聖,SALAROLI GIUSEPPE,ordinary,2189,1,1999,C01,27,63,,其他,,房屋管理顧問,,,,TRUE,n/a,n/a,,房屋管理顧問,,,,,,
50,曹漢光,TSO HON KWONG,ordinary,2162,1,1999,C02,28,52,民主黨,民主,,全職區議員,,,1988,TRUE,n/a,n/a,,全職區議員,,民主黨,,,,
51,陳航,,ordinary,2275,1,1999,C02,28,37,民建聯,建制,,行政經理,,,711,FALSE,n/a,n/a,,行政經理,,民建聯,,,,
52,傅元章,FU YUEN CHEUNG ALEXANDER,ordinary,820,1,1999,C03,29,50,,其他,,人壽保險／僱員 福利顧問,,,1356,TRUE,n/a,n/a,,人壽保險／僱員 福利顧問,,,,,,
53,蔣業暉,,ordinary,2164,1,1999,C03,29,55,,其他,,電業承辦商,,,878,FALSE,n/a,n/a,,電業承辦商,,,,,,
54,勞鍱珍,LO TIP CHUN,ordinary,2112,1,1999,C04,30,51,民建聯,建制,,全職議員,,,,TRUE,n/a,n/a,,全職議員,,民建聯,,,,
55,杜本文,TO BOON MAN DANIEL,ordinary,2113,1,1999,C05,31,50,,其他,,設計師／行政經理,,,1703,TRUE,n/a,n/a,,設計師／行政經理,,,,,,
56,陳達文,,ordinary,821,1,1999,C05,31,43,,其他,,董事經理,,,360,FALSE,n/a,n/a,,董事經理,,,,,,
57,張葵歡,,ordinary,2291,1,1999,C05,31,42,民建聯,建制,,幼稚園教師,,,901,FALSE,n/a,n/a,,幼稚園教師,,民建聯,,,,
58,謝智勇,,ordinary,2232,1,1999,C06,32,40,民建聯,建制,,業務副經理,,,1433,FALSE,n/a,n/a,,業務副經理,,民建聯,,,,
59,陳添勝,CHAN TIM SHING MANUEL,ordinary,2114,1,1999,C06,32,40,民權黨,民主,,公司董事,,,2072,TRUE,n/a,n/a,,公司董事,,民權黨,,,,
60,鄧禮明,TANG LAI MING,ordinary,1030,1,1999,C07,33,41,民建聯,建制,,公司董事／輔導工作者,,,2054,TRUE,n/a,n/a,,公司董事／輔導工作者,,民建聯,,,,
61,古桂耀,KU KWAI YIU,ordinary,2233,1,1999,C07,33,37,民主黨,民主,,技術員,,,1330,FALSE,kuoffice,n/a,,技術員,,民主黨,,,,
62,關光,,ordinary,2276,1,1999,C08,34,40,民建聯,建制,,行政經理,,,968,FALSE,n/a,n/a,,行政經理,,民建聯,,,,
63,梁雪冰,,ordinary,2165,1,1999,C08,34,40,民主黨,民主,,藝術工作者,,,1481,TRUE,n/a,n/a,,藝術工作者,,民主黨,,,,
64,陳靄群,CHAN OI KWAN,ordinary,749,1,1999,C09,35,49,民建聯,建制,,社團行政人員,,,1824,TRUE,n/a,n/a,,社團行政人員,,民建聯,,,,
65,李惠照,LEE WAI CHIU WIGGO,ordinary,2115,1,1999,C09,35,46,民主黨,民主,,物業管理行政人員,,,910,FALSE,n/a,n/a,,物業管理行政人員,,民主黨,,,,
66,林偉光,,ordinary,2166,1,1999,C10,36,56,民建聯,建制,,議員助理,,,1507,FALSE,n/a,n/a,,議員助理,,民建聯,,,,
67,陳耀德,CHAN YIU TAK,ordinary,2277,1,1999,C10,36,49,民主黨,民主,,教師,,,1727,TRUE,n/a,n/a,,教師,,民主黨,,,,
68,楊健德,,ordinary,750,1,1999,C11,37,37,民主黨,民主,,印刷業報價員,,,864,FALSE,n/a,n/a,,印刷業報價員,,民主黨,,,,
69,龔栢祥,KUNG PAK CHEUNG,ordinary,751,1,1999,C11,37,49,民建聯,建制,,旅行社總監,,,2782,TRUE,n/a,n/a,,旅行社總監,,民建聯,,,,
70,黎志強,LAI CHI KEONG JOSEPH,ordinary,2361,1,1999,C12,38,51,民主黨,民主,,全職議員,,,1636,TRUE,laichikeong,n/a,,全職議員,,民主黨,,,,
71,馬德成,MA TAK SING,ordinary,1242,1,1999,C12,38,40,民建聯,建制,,地產公司經理,,,1446,FALSE,n/a,n/a,,地產公司經理,,民建聯,,,,
72,甄永樂,"YAN Wing-lok, Alexander",ordinary,2362,1,1999,C13,39,36,民主黨,民主,,環境顧問,,,488,FALSE,n/a,n/a,,環境顧問,,民主黨,,,,
73,黃建彬,WONG KIN PAN,ordinary,2167,1,1999,C13,39,45,民建聯,建制,,公司執行董事,,,1065,TRUE,n/a,n/a,,公司執行董事,,民建聯,,,,
74,阮其江,,ordinary,2234,1,1999,C13,39,64,港進聯,建制,,全職區議員,,,622,FALSE,n/a,n/a,,全職區議員,,港進聯,,,,
75,陳炳煥,CHAN BING WOON,ordinary,2292,1,1999,C14,40,54,,其他,,律師／公證人,,,,TRUE,n/a,n/a,,律師／公證人,,,,,,
76,劉玉芳,,ordinary,1243,1,1999,C15,41,34,,其他,,商人,,,819,FALSE,n/a,n/a,,商人,,,,,,
77,葉就生,IP CHIU SHING,ordinary,2168,1,1999,C15,41,58,,其他,,文員,,,1807,TRUE,n/a,n/a,,文員,,,,,,
78,羅榮焜,LO WING KWAN FRANKIE,ordinary,2191,1,1999,C16,42,51,,其他,,報幕員／培訓導師,,,897,TRUE,LawShanLWK,n/a,,報幕員／培訓導師,,,,,,
79,黃桂林,,ordinary,2297,1,1999,C16,42,42,,其他,,專業培訓導師,,,745,FALSE,n/a,n/a,,專業培訓導師,,,,,,
80,成偉邦,,ordinary,2278,1,1999,C16,42,48,中自民,民主,,公司董事長,,,337,FALSE,n/a,n/a,,公司董事長,,中自民,,,,
81,關國傑,KWAN KWOK KIT,ordinary,752,1,1999,C17,43,40,,建制,,業務經理,,,604,FALSE,n/a,n/a,,業務經理,,,,,,
82,周潔冰,CHOW KIT BING JENNIFER,ordinary,2235,1,1999,C17,43,44,,建制,,全職議員,,,1383,TRUE,Jenniferchowkitbing,n/a,,全職議員,,,,,,
83,蕭健恒,,ordinary,2257,1,1999,C18,44,26,民主黨,民主,,業務拓展經理,,,896,FALSE,n/a,n/a,,業務拓展經理,,民主黨,,,,
84,朱奉慈,CHU FUNG CHEE,ordinary,2298,1,1999,C18,44,41,,其他,,大律師,,,461,FALSE,n/a,n/a,,大律師,,,,,,
85,許清安,HUI CHING ON,ordinary,2236,1,1999,C18,44,33,,其他,,執業會計師,,,995,TRUE,n/a,n/a,,執業會計師,,,,,,
86,王國興,WONG KWOK HING,ordinary,2237,1,1999,C19,45,50,民建聯,建制,,行政人員／作家,,,,TRUE,n/a,n/a,,行政人員／作家,,民建聯,,,,
