id,code,district_id,year,name_en,name_zh,expected_population,deviation_percentage,tags,meta_tags,main_areas,boundaries,voters,new_voters,description,description_zh,description_en,meta
1,A01,1,1999,Chung Wan,中環,,,,,[],[],,,,,,
2,A02,1,1999,Mid Levels East,半山東,,,,,[],[],,,,,,
3,A03,1,1999,Castle Road,衛城,,,,,[],[],,,,,,
4,A04,1,1999,Peak,山頂,,,,,[],[],,,,,,
5,A05,1,1999,University,大學,,,,,[],[],,,,,,
6,A06,1,1999,Kennedy Town & Mount Davis,堅摩,,,,,[],[],,,,,,
7,A07,1,1999,Kwun Lung,觀龍,,,,,[],[],,,,,,
8,A08,1,1999,Sai Wan,西環,,,,,[],[],,,,,,
9,A09,1,1999,Belcher,寶翠,,,,,[],[],,,,,,
10,A10,1,1999,Shek Tong Tsui,石塘咀,,,,,[],[],,,,,,
11,A11,1,1999,Sai Ying Pun,西營盤,,,,,[],[],,,,,,
12,A12,1,1999,Sheung Wan,上環,,,,,[],[],,,,,,
13,A13,1,1999,Tung Wah,東華,,,,,[],[],,,,,,
14,A14,1,1999,Centre Street,正街,,,,,[],[],,,,,,
15,A15,1,1999,Water Street,水街,,,,,[],[],,,,,,
16,B01,2,1999,Hennessy,軒尼詩,,,,,[],[],,,,,,
17,B02,2,1999,Oi Kwan,愛群,,,,,[],[],,,,,,
18,B03,2,1999,Canal Road,鵝頸,,,,,[],[],,,,,,
19,B04,2,1999,Causeway Bay,銅鑼灣,,,,,[],[],,,,,,
20,B05,2,1999,Tai Hang,大坑,,,,,[],[],,,,,,
21,B06,2,1999,Jardine's Lookout,渣甸山,,,,,[],[],,,,,,
22,B07,2,1999,Broadwood,樂活,,,,,[],[],,,,,,
23,B08,2,1999,Happy Valley,跑馬地,,,,,[],[],,,,,,
24,B09,2,1999,Stubbs Road,司徒拔道,,,,,[],[],,,,,,
25,B10,2,1999,Southorn,修頓,,,,,[],[],,,,,,
26,B11,2,1999,Tai Fat Hau,大佛口,,,,,[],[],,,,,,
27,C01,3,1999,Tai Koo Shing West,太古城西,,,,,[],[],,,,,,
28,C02,3,1999,Tai Koo Shing East,太古城東,,,,,[],[],,,,,,
29,C03,3,1999,Lei King Wan,鯉景灣,,,,,[],[],,,,,,
30,C04,3,1999,Shaukeiwan,筲箕灣,,,,,[],[],,,,,,
31,C05,3,1999,A Kung Ngam,阿公岩,,,,,[],[],,,,,,
32,C06,3,1999,Heng Fa Chuen,杏花邨,,,,,[],[],,,,,,
33,C07,3,1999,Tsui Wan,翠灣,,,,,[],[],,,,,,
34,C08,3,1999,Yan Yee,欣怡,,,,,[],[],,,,,,
35,C09,3,1999,Siu Sai Wan,小西灣,,,,,[],[],,,,,,
36,C10,3,1999,Fullview,富景,,,,,[],[],,,,,,
37,C11,3,1999,Wan Tsui,環翠,,,,,[],[],,,,,,
38,C12,3,1999,Fei Tsui,翡翠,,,,,[],[],,,,,,
39,C13,3,1999,Mount Parker,柏架山,,,,,[],[],,,,,,
40,C14,3,1999,Braemar Hill,寶馬山,,,,,[],[],,,,,,
41,C15,3,1999,Tin Hau,天后,,,,,[],[],,,,,,
42,C16,3,1999,Fortress Hill,炮台山,,,,,[],[],,,,,,
43,C17,3,1999,Victoria Park,維園,,,,,[],[],,,,,,
44,C18,3,1999,City Garden,城市花園,,,,,[],[],,,,,,
45,C19,3,1999,Provident,和富,,,,,[],[],,,,,,
46,C20,3,1999,Fort Street,堡壘,,,,,[],[],,,,,,
47,C21,3,1999,North Point Estate,北角邨,,,,,[],[],,,,,,
48,C22,3,1999,Kam Ping,錦屏,,,,,[],[],,,,,,
49,C23,3,1999,Tanner,丹拿,,,,,[],[],,,,,,
50,C24,3,1999,Healthy Village,健康村,,,,,[],[],,,,,,
51,C25,3,1999,Quarry Bay,鰂魚涌,,,,,[],[],,,,,,
52,C26,3,1999,Nam Fung,南豐,,,,,[],[],,,,,,
53,C27,3,1999,Kornhill,康怡,,,,,[],[],,,,,,
54,C28,3,1999,Kornhill Garden,康山,,,,,[],[],,,,,,
55,C29,3,1999,Hing Tung,興東,,,,,[],[],,,,,,
56,C30,3,1999,Sai Wan Ho,西灣河,,,,,[],[],,,,,,
57,C31,3,1999,Lower Yiu Tung,下耀東,,,,,[],[],,,,,,
58,C32,3,1999,Upper Yiu Tung,上耀東,,,,,[],[],,,,,,
59,C33,3,1999,Hing Man,興民,,,,,[],[],,,,,,
60,C34,3,1999,Lok Hong,樂康,,,,,[],[],,,,,,
61,C35,3,1999,Tsui Tak,翠德,,,,,[],[],,,,,,
62,C36,3,1999,Yue Wan,漁灣,,,,,[],[],,,,,,
63,C37,3,1999,Hiu Tsui,曉翠,,,,,[],[],,,,,,
64,D01,4,1999,Aberdeen,香港仔,,,,,[],[],,,,,,
65,D02,4,1999,Ap Lei Chau Estate,鴨脷洲邨,,,,,[],[],,,,,,
66,D03,4,1999,Ap Lei Chau North,鴨脷洲北,,,,,[],[],,,,,,
67,D04,4,1999,Lei Tung I,利東一,,,,,[],[],,,,,,
68,D05,4,1999,Lei Tung II,利東二,,,,,[],[],,,,,,
69,D06,4,1999,South Horizons East,海怡東,,,,,[],[],,,,,,
70,D07,4,1999,South Horizons West,海怡西,,,,,[],[],,,,,,
71,D08,4,1999,Wah Kwai,華貴,,,,,[],[],,,,,,
72,D09,4,1999,Wah Fu I,華富一,,,,,[],[],,,,,,
73,D10,4,1999,Wah Fu II,華富二,,,,,[],[],,,,,,
74,D11,4,1999,Pokfulam,薄扶林,,,,,[],[],,,,,,
75,D12,4,1999,Chi Fu,置富,,,,,[],[],,,,,,
76,D13,4,1999,Tin Wan,田灣,,,,,[],[],,,,,,
