id,cacode,data_year,election_year,name_en,name_zh,constituency_id,voters,new_voters
1,A01,2019,2019,Chung Wan,中環,2039,"{""M"": {""18-20"": 36, ""21-25"": 104, ""26-30"": 108, ""31-35"": 122, ""36-40"": 165, ""41-45"": 188, ""46-50"": 201, ""51-55"": 214, ""56-60"": 224, ""61-65"": 219, ""66-70"": 194, ""71+"": 386}, ""F"": {""18-20"": 40, ""21-25"": 99, ""26-30"": 112, ""31-35"": 153, ""36-40"": 156, ""41-45"": 174, ""46-50"": 195, ""51-55"": 229, ""56-60"": 249, ""61-65"": 233, ""66-70"": 209, ""71+"": 367}}","{""M"": {""18-20"": 28, ""21-25"": 20, ""26-30"": 17, ""31-35"": 25, ""36-40"": 33, ""41-45"": 18, ""46-50"": 22, ""51-55"": 17, ""56-60"": 16, ""61-65"": 7, ""66-70"": 9, ""71+"": 10}, ""F"": {""18-20"": 26, ""21-25"": 19, ""26-30"": 24, ""31-35"": 38, ""36-40"": 18, ""41-45"": 25, ""46-50"": 15, ""51-55"": 26, ""56-60"": 17, ""61-65"": 9, ""66-70"": 10, ""71+"": 15}}"
2,A02,2019,2019,Mid Levels East,半山東,2040,"{""M"": {""18-20"": 59, ""21-25"": 178, ""26-30"": 177, ""31-35"": 183, ""36-40"": 269, ""41-45"": 238, ""46-50"": 302, ""51-55"": 301, ""56-60"": 387, ""61-65"": 395, ""66-70"": 281, ""71+"": 482}, ""F"": {""18-20"": 63, ""21-25"": 148, ""26-30"": 183, ""31-35"": 205, ""36-40"": 253, ""41-45"": 280, ""46-50"": 343, ""51-55"": 370, ""56-60"": 439, ""61-65"": 379, ""66-70"": 268, ""71+"": 525}}","{""M"": {""18-20"": 35, ""21-25"": 27, ""26-30"": 24, ""31-35"": 41, ""36-40"": 50, ""41-45"": 27, ""46-50"": 31, ""51-55"": 23, ""56-60"": 18, ""61-65"": 11, ""66-70"": 4, ""71+"": 7}, ""F"": {""18-20"": 34, ""21-25"": 27, ""26-30"": 34, ""31-35"": 48, ""36-40"": 45, ""41-45"": 30, ""46-50"": 31, ""51-55"": 27, ""56-60"": 11, ""61-65"": 14, ""66-70"": 10, ""71+"": 8}}"
3,A03,2019,2019,Castle Road,衛城,2041,"{""M"": {""18-20"": 79, ""21-25"": 183, ""26-30"": 207, ""31-35"": 193, ""36-40"": 252, ""41-45"": 311, ""46-50"": 345, ""51-55"": 392, ""56-60"": 464, ""61-65"": 412, ""66-70"": 325, ""71+"": 511}, ""F"": {""18-20"": 83, ""21-25"": 199, ""26-30"": 203, ""31-35"": 238, ""36-40"": 292, ""41-45"": 366, ""46-50"": 403, ""51-55"": 450, ""56-60"": 459, ""61-65"": 361, ""66-70"": 335, ""71+"": 497}}","{""M"": {""18-20"": 41, ""21-25"": 23, ""26-30"": 25, ""31-35"": 43, ""36-40"": 48, ""41-45"": 52, ""46-50"": 42, ""51-55"": 28, ""56-60"": 16, ""61-65"": 9, ""66-70"": 7, ""71+"": 8}, ""F"": {""18-20"": 49, ""21-25"": 48, ""26-30"": 31, ""31-35"": 47, ""36-40"": 51, ""41-45"": 40, ""46-50"": 36, ""51-55"": 37, ""56-60"": 19, ""61-65"": 8, ""66-70"": 8, ""71+"": 15}}"
4,A04,2019,2019,Peak,山頂,2042,"{""M"": {""18-20"": 57, ""21-25"": 130, ""26-30"": 159, ""31-35"": 150, ""36-40"": 156, ""41-45"": 191, ""46-50"": 218, ""51-55"": 261, ""56-60"": 327, ""61-65"": 328, ""66-70"": 315, ""71+"": 466}, ""F"": {""18-20"": 49, ""21-25"": 119, ""26-30"": 169, ""31-35"": 164, ""36-40"": 170, ""41-45"": 234, ""46-50"": 269, ""51-55"": 305, ""56-60"": 348, ""61-65"": 332, ""66-70"": 283, ""71+"": 418}}","{""M"": {""18-20"": 31, ""21-25"": 22, ""26-30"": 20, ""31-35"": 19, ""36-40"": 20, ""41-45"": 25, ""46-50"": 25, ""51-55"": 19, ""56-60"": 17, ""61-65"": 5, ""66-70"": 7, ""71+"": 7}, ""F"": {""18-20"": 30, ""21-25"": 21, ""26-30"": 14, ""31-35"": 33, ""36-40"": 26, ""41-45"": 31, ""46-50"": 24, ""51-55"": 23, ""56-60"": 9, ""61-65"": 11, ""66-70"": 5, ""71+"": 7}}"
5,A05,2019,2019,University,大學,2043,"{""M"": {""18-20"": 76, ""21-25"": 201, ""26-30"": 284, ""31-35"": 201, ""36-40"": 307, ""41-45"": 315, ""46-50"": 363, ""51-55"": 371, ""56-60"": 471, ""61-65"": 458, ""66-70"": 422, ""71+"": 724}, ""F"": {""18-20"": 86, ""21-25"": 211, ""26-30"": 263, ""31-35"": 282, ""36-40"": 328, ""41-45"": 360, ""46-50"": 426, ""51-55"": 445, ""56-60"": 506, ""61-65"": 480, ""66-70"": 428, ""71+"": 667}}","{""M"": {""18-20"": 37, ""21-25"": 33, ""26-30"": 33, ""31-35"": 21, ""36-40"": 36, ""41-45"": 23, ""46-50"": 23, ""51-55"": 23, ""56-60"": 17, ""61-65"": 13, ""66-70"": 6, ""71+"": 5}, ""F"": {""18-20"": 38, ""21-25"": 38, ""26-30"": 23, ""31-35"": 32, ""36-40"": 40, ""41-45"": 39, ""46-50"": 32, ""51-55"": 28, ""56-60"": 13, ""61-65"": 13, ""66-70"": 17, ""71+"": 16}}"
6,A06,2019,2019,Kennedy Town & Mount Davis,觀龍,2044,"{""M"": {""18-20"": 76, ""21-25"": 222, ""26-30"": 286, ""31-35"": 329, ""36-40"": 329, ""41-45"": 331, ""46-50"": 345, ""51-55"": 423, ""56-60"": 440, ""61-65"": 391, ""66-70"": 327, ""71+"": 692}, ""F"": {""18-20"": 113, ""21-25"": 247, ""26-30"": 288, ""31-35"": 345, ""36-40"": 368, ""41-45"": 404, ""46-50"": 394, ""51-55"": 460, ""56-60"": 495, ""61-65"": 411, ""66-70"": 366, ""71+"": 907}}","{""M"": {""18-20"": 41, ""21-25"": 41, ""26-30"": 36, ""31-35"": 45, ""36-40"": 35, ""41-45"": 36, ""46-50"": 27, ""51-55"": 26, ""56-60"": 8, ""61-65"": 15, ""66-70"": 13, ""71+"": 9}, ""F"": {""18-20"": 65, ""21-25"": 51, ""26-30"": 48, ""31-35"": 58, ""36-40"": 58, ""41-45"": 40, ""46-50"": 36, ""51-55"": 34, ""56-60"": 18, ""61-65"": 12, ""66-70"": 10, ""71+"": 17}}"
7,A07,2019,2019,Kwun Lung,堅摩,2045,"{""M"": {""18-20"": 84, ""21-25"": 184, ""26-30"": 223, ""31-35"": 248, ""36-40"": 293, ""41-45"": 389, ""46-50"": 355, ""51-55"": 356, ""56-60"": 380, ""61-65"": 326, ""66-70"": 263, ""71+"": 505}, ""F"": {""18-20"": 101, ""21-25"": 211, ""26-30"": 264, ""31-35"": 285, ""36-40"": 324, ""41-45"": 425, ""46-50"": 420, ""51-55"": 398, ""56-60"": 418, ""61-65"": 344, ""66-70"": 288, ""71+"": 524}}","{""M"": {""18-20"": 52, ""21-25"": 38, ""26-30"": 40, ""31-35"": 49, ""36-40"": 45, ""41-45"": 40, ""46-50"": 19, ""51-55"": 26, ""56-60"": 16, ""61-65"": 9, ""66-70"": 5, ""71+"": 13}, ""F"": {""18-20"": 58, ""21-25"": 51, ""26-30"": 53, ""31-35"": 68, ""36-40"": 50, ""41-45"": 51, ""46-50"": 47, ""51-55"": 31, ""56-60"": 19, ""61-65"": 12, ""66-70"": 8, ""71+"": 14}}"
8,A08,2019,2019,Sai Wan,西環,2046,"{""M"": {""18-20"": 77, ""21-25"": 195, ""26-30"": 285, ""31-35"": 271, ""36-40"": 312, ""41-45"": 362, ""46-50"": 336, ""51-55"": 328, ""56-60"": 393, ""61-65"": 358, ""66-70"": 332, ""71+"": 578}, ""F"": {""18-20"": 86, ""21-25"": 174, ""26-30"": 236, ""31-35"": 303, ""36-40"": 376, ""41-45"": 358, ""46-50"": 383, ""51-55"": 362, ""56-60"": 426, ""61-65"": 465, ""66-70"": 354, ""71+"": 636}}","{""M"": {""18-20"": 43, ""21-25"": 35, ""26-30"": 35, ""31-35"": 38, ""36-40"": 42, ""41-45"": 19, ""46-50"": 27, ""51-55"": 18, ""56-60"": 15, ""61-65"": 13, ""66-70"": 7, ""71+"": 6}, ""F"": {""18-20"": 45, ""21-25"": 33, ""26-30"": 33, ""31-35"": 52, ""36-40"": 54, ""41-45"": 37, ""46-50"": 31, ""51-55"": 33, ""56-60"": 20, ""61-65"": 16, ""66-70"": 7, ""71+"": 20}}"
9,A09,2019,2019,Belcher,寶翠,2047,"{""M"": {""18-20"": 125, ""21-25"": 283, ""26-30"": 316, ""31-35"": 296, ""36-40"": 364, ""41-45"": 413, ""46-50"": 474, ""51-55"": 503, ""56-60"": 592, ""61-65"": 483, ""66-70"": 428, ""71+"": 642}, ""F"": {""18-20"": 136, ""21-25"": 312, ""26-30"": 312, ""31-35"": 343, ""36-40"": 411, ""41-45"": 487, ""46-50"": 587, ""51-55"": 562, ""56-60"": 614, ""61-65"": 477, ""66-70"": 431, ""71+"": 730}}","{""M"": {""18-20"": 63, ""21-25"": 51, ""26-30"": 49, ""31-35"": 38, ""36-40"": 49, ""41-45"": 39, ""46-50"": 37, ""51-55"": 24, ""56-60"": 22, ""61-65"": 12, ""66-70"": 9, ""71+"": 10}, ""F"": {""18-20"": 79, ""21-25"": 54, ""26-30"": 31, ""31-35"": 60, ""36-40"": 54, ""41-45"": 52, ""46-50"": 47, ""51-55"": 31, ""56-60"": 30, ""61-65"": 17, ""66-70"": 16, ""71+"": 32}}"
10,A10,2019,2019,Shek Tong Tsui,石塘咀,2048,"{""M"": {""18-20"": 92, ""21-25"": 231, ""26-30"": 291, ""31-35"": 307, ""36-40"": 329, ""41-45"": 310, ""46-50"": 329, ""51-55"": 311, ""56-60"": 354, ""61-65"": 385, ""66-70"": 363, ""71+"": 644}, ""F"": {""18-20"": 98, ""21-25"": 177, ""26-30"": 287, ""31-35"": 308, ""36-40"": 324, ""41-45"": 332, ""46-50"": 355, ""51-55"": 374, ""56-60"": 409, ""61-65"": 433, ""66-70"": 376, ""71+"": 770}}","{""M"": {""18-20"": 52, ""21-25"": 45, ""26-30"": 48, ""31-35"": 61, ""36-40"": 38, ""41-45"": 33, ""46-50"": 30, ""51-55"": 26, ""56-60"": 10, ""61-65"": 14, ""66-70"": 13, ""71+"": 15}, ""F"": {""18-20"": 55, ""21-25"": 42, ""26-30"": 42, ""31-35"": 55, ""36-40"": 37, ""41-45"": 41, ""46-50"": 47, ""51-55"": 37, ""56-60"": 22, ""61-65"": 24, ""66-70"": 16, ""71+"": 57}}"
