id,name_en,name_zh,estimated_yob,yod,gender,related_organization,uuid,fc_uuid,description_zh,description_en
1614,TING TSZ YUEN,丁仕元,1979,,MALE,沙田區政,4c081e43-10ef-4171-a952-889a82b313ff,01f28f01-ac04-467b-8891-492964d95040,,
2500,DING Wai-leung,丁偉良,,,MALE,沒有政治聯繫,b19462f7-fa34-416d-877a-7bd5e30e7ccf,1dc4b8f3-7052-41ae-8d97-7f70a125d81c,,
2014,TING KIN WA,丁健華,1968,,MALE,九龍社團聯會,d3847472-a713-4361-90f9-191cf76c411c,aead1ad7-4969-46f0-ab4c-bfbb22893b11,,
1491,TING CHI WAI ROY,丁志威,1981,,MALE,,7693027a-613a-450f-8ad8-8e520f3e1f9a,420e2bce-478b-47ef-8246-f0faf12b1b1d,,
41,"TING Kong-ho, Eddie",丁江浩,1974,,MALE,民建聯,2b116045-c370-4690-8052-58e20e1e3103,1227c8b1-59ae-43cb-bfff-3f96d8f98f71,,
2955,TING Wong Kacee,丁煌,,,MALE,經民聯,26d444e7-7824-45ce-b71f-af9e0606a617,2c4b03a3-4a39-4f28-8f6e-2f27722a17ac,,
1046,TING YIN WAH,丁衍華,1953,,MALE,,686b4f4c-a5f7-44b4-bcc9-f4a2fe73c134,,,
687,YAU Tsang-keung,丘增強,1971,,MALE,,38cf90cd-2fc3-41d5-b6a7-b58adfab0bac,,,
397,"YAU Tsz-ming, Brownson",丘子明,1960,,MALE,,0cc07e4f-0683-4a42-b4ef-757a5faa04df,,,
1645,YAU MAN CHUN,丘文俊,1982,,MALE,"沙田區政,區政聯盟",80442033-8e50-4743-863c-01f05cf9646c,dd9d6b6e-7f92-4d7f-93bf-08a853bc96eb,,
845,YAU SHUI WAN,丘瑞雲,1954,,FEMALE,,45768b91-1f3d-425a-8468-553443e0ba6b,,,
1809,NAKADE HITSUJIKO,中出羊子,1991,,MALE,,64de1be3-7bfc-40d8-a278-e5873547ee16,,,
2175,CHOW CHUN FAI,仇振輝,1947,,MALE,"九龍社團聯會,西九新動力",5bc5011a-fcde-48c4-9f71-79868b0306a6,28210afc-10bd-4023-a4c9-be298b037743,,
2745,CHAU Hui-yan,仇栩欣,1996,,FEMALE, ,dde610da-d9ab-4753-9092-a356d81d5df6,87da705c-7850-480d-bccd-d970f9979318,,
1489,YUM EDWARD LIANG HSIEN,任亮憲,1979,,MALE,,324ff258-95f1-4fb9-bf8d-556224a1f6d5,,,
