id,year,ca_code,ca_name,constituency_id,編號,name_zh,adress_zh,Constituency Code,Constituency,station_code,name_en,address_en,googleAPI_lat,googleAPI_lng,addrParser_dc_name_19,lat,lng
1001,2019,A01,中環,2039,A0101,H6 Conet,香港中環皇后大道中99號中環中心地下,A01,CHUNG WAN,A0101,H6 Conet,"G/F, The Center, 99 Queen's Road Central, Central, Hong Kong",22.284617,114.154718,中環 (A01),22.28467,114.1544
1002,2019,A01,中環,2039,A0102,香港視覺藝術中心,香港中區堅尼地道7A號4樓,A01,CHUNG WAN,A0102,Hong Kong Visual Arts Centre,"4/F, 7A Kennedy Road, Central, Hong Kong",22.276737,114.159374,中環 (A01),22.27673,114.15888
1003,2019,A02,半山東,2040,A0201,高主教書院,香港羅便臣道2號,A02,MID LEVELS EAST,A0201,Raimondi College,"2 Robinson Road, Hong Kong",22.2782914,114.1533874,半山東 (A02),22.27842,114.15326
1004,2019,A03,衛城,2041,A0301,香港真光幼稚園(堅道),香港堅道75號地下至2樓,A03,CASTLE ROAD,A0301,Hong Kong True Light Kindergarten (Caine Road),"G/F - 2/F, 75 Caine Road, Hong Kong",22.2816137,114.1519475,半山東 (A02),22.28174,114.15203
1005,2019,A03,衛城,2041,A0302,英華女學校,香港半山羅便臣道76號,A03,CASTLE ROAD,A0302,Ying Wa Girls' School,"76 Robinson Road, Mid-Levels, Hong Kong",22.2827259,114.1472331,半山東 (A02),22.2796,114.15122
1006,2019,A04,山頂,2042,A0401,香港公園體育館,香港中環紅棉路29號,A04,PEAK,A0401,Hong Kong Park Sports Centre,"29 Cotton Tree Drive, Central, Hong Kong",22.2773595,114.1594486,中環 (A01),22.27726,114.15931
1007,2019,A04,山頂,2042,A0402,德瑞國際學校山頂校舍,香港山頂僑福道11號德瑞國際學校山頂校舍高座,A04,PEAK,A0402,German Swiss International School Peak Campus,"Upper Building, German Swiss International School Peak Campus, 11 Guildford Road, The Peak, Hong Kong",22.265971,114.1615628,山頂 (A04),22.26621,114.16173
1008,2019,A05,大學,2043,A0501,西營盤社區綜合大樓社區會堂,香港西營盤高街2號西營盤社區綜合大樓3樓,A05,UNIVERSITY,A0501,Sai Ying Pun Community Complex Community Hall,"3/F, Sai Ying Pun Community Complex, 2 High Street, Sai Ying Pun, Hong Kong",22.28483,114.144069,正街 (A14),22.28486,114.1441
1009,2019,A06,觀龍,2044,A0601,士美非路體育館,香港堅尼地城士美菲路12號K士美非路市政大廈4樓,A06,KWUN LUNG,A0601,Smithfield Sports Centre,"4/F, Smithfield Municipal Services Building, 12K Smithfield, Kennedy Town, Hong Kong",22.2816862,114.1286074,西環 (A08),22.28177,114.12868
1010,2019,A07,堅摩,2045,A0701,香港基督教女青年會西環綜合社會服務處,香港西環域多利道9至15號百年大樓第1期A座2樓,A07,KENNEDY TOWN & MOUNT DAVIS,A0701,HKYWCA Western District Integrated Social Service Centre,"Flat A, 1/F, Block 1, Centenary Mansion, 9-15 Victoria Road, Western District, Hong Kong",22.2819315,114.1257972,堅摩 (A07),22.28187,114.12576
1011,2019,A08,西環,2046,A0801,堅尼地城社區綜合大樓 (綜合用途室),香港堅尼地城石山街12號2樓,A08,SAI WAN,A0801,Kennedy Town Community Complex (Multi-purpose Function Room),"2/F, 12 Rock Hill Street, Kennedy Town, Hong Kong",22.2820883,114.1290239,西環 (A08),22.28184,114.12908
1012,2019,A09,寶翠,2047,A0901,維多利亞 (寶翠園) 幼稚園,香港卑路乍街8號西寶城3樓 (幼稚園),A09,BELCHER,A0901,Victoria (Belcher) Kindergarten,"Podium Level 3 (Kindergarten Area), The Westwood, 8 Belcher's Street, Hong Kong",22.2856644,114.1332351,寶翠 (A09),22.28545,114.13298
1013,2019,A09,寶翠,2047,A0902,香港聖公會西環長者綜合服務中心,香港西環山道28號曉山閣地下A-E室,A09,BELCHER,A0902,HKSKH Western District Elderly Community Centre,"Shop A-E, G/F, Hill Court, 28 Hill Road, Western District, Hong Kong",22.2855592,114.1349012,寶翠 (A09),22.28556,114.13487
1014,2019,A10,石塘咀,2048,A1001,石塘咀體育館,香港皇后大道西470號石塘咀市政大廈5樓,A10,SHEK TONG TSUI,A1001,Shek Tong Tsui Sports Centre,"5/F, Shek Tong Tsui Municipal Services Building, 470 Queen's Road West, Hong Kong",22.2855473,114.136225,水街 (A15),22.28558,114.13609
1015,2019,A11,西營盤,2049,A1101,中西區及離島區社會保障辦事處,香港德輔道西246號東慈商業中心3樓,A11,SAI YING PUN,A1101,Central and Western / Islands Social Security Field Unit,"3/F, Tung Che Commercial Centre, 246 Des Voeux Road West, Hong Kong",22.2877632,114.1416827,西營盤 (A11),22.28776,114.14165
1016,2019,A11,西營盤,2049,A1102,東華三院樂群地區支援中心,香港西營盤皇后大道西398至400號富滿大廈地下,A11,SAI YING PUN,A1102,TWGHs Lok Kwan District Support Centre,"G/F, Full Moon Building, 398-400 Queen's Road West, Sai Ying Pun, Hong Kong",22.286607,114.139461,水街 (A15),22.28655,114.13944
1017,2019,A12,上環,2050,A1201,上環郵政局,香港上環德輔道中322至324號西區電話機樓1樓,A12,SHEUNG WAN,A1201,Sheung Wan Post Office,"1/F, West Exchange Tower, 322-324 Des Voeux Road Central, Sheung Wan, Hong Kong",22.2867635,114.1501892,上環 (A12),22.28673,114.1502
1018,2019,A13,東華,2051,A1301,新會商會學校,香港上環居賢坊1號,A13,TUNG WAH,A1301,San Wui Commercial Society School,"1 Kui In Fong, Sheung Wan, Hong Kong",22.2840145,114.148882,東華 (A13),22.28394,114.14893
1019,2019,A13,東華,2051,A1302,聖公會聖馬太小學,香港上環新街12至20號,A13,TUNG WAH,A1302,SKH St. Matthew's Primary School,"12-20 New Street, Sheung Wan, Hong Kong",22.2857787,114.1466758,東華 (A13),22.28575,114.1467
1020,2019,A14,正街,2052,A1401,基督教香港崇真會救恩堂及救恩學校,香港西營盤第三街96號地下,A14,CENTRE STREET,A1401,Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School,"G/F, 96 Third Street, Sai Ying Pun, Hong Kong",22.2856957,114.1411612,正街 (A14),22.28545,114.14106
1021,2019,A15,水街,2053,A1501,李陞小學,香港西營盤高街119號,A15,WATER STREET,A1501,Li Sing Primary School,"119 High Street, Sai Ying Pun, Hong Kong",22.2853334,114.1398624,水街 (A15),22.28532,114.14
1022,2019,B01,軒尼詩,2054,B0101,軒尼詩道官立小學,香港灣仔譚臣道169號,B01,HENNESSY,B0101,Hennessy Road Government Primary School,"169 Thomson Road, Wan Chai, Hong Kong",22.2775728,114.1756812,軒尼詩 (B01),22.27767,114.17555
1023,2019,B02,愛群,2055,B0201,鄧肇堅維多利亞官立中學,香港灣仔愛群道5號,B02,OI KWAN,B0201,Tang Shiu Kin Victoria Government Secondary School,"5 Oi Kwan Road, Wan Chai, Hong Kong",22.2768753,114.1791412,愛群 (B02),22.27696,114.17869
1024,2019,B03,鵝頸,2056,B0301,香港婦協郭得勝服務中心,香港灣仔駱克道435號,B03,CANAL ROAD,B0301,Hong Kong Federation of Women T.S. Kwok Service Centre,"435 Lockhart Road, Wan Chai, Hong Kong",22.280176,114.180915,鵝頸 (B03),22.28029,114.18084
1025,2019,B04,銅鑼灣,2057,B0401,灣仔區文娛康樂體育會,香港銅鑼灣大坑道摩頓台 (香港中央圖書館側),B04,CAUSEWAY BAY,B0401,"Wan Chai District Arts, Cultural, Recreational & Sports Association","Moreton Terrace, Underneath Tai Hang Road, Flyover, Causeway Bay, Hong Kong (Beside Hong Kong Central Library)",22.2801378,114.1894987,渣甸山 (B08),22.27417,114.19274
1026,2019,B05,維園,2058,B0501,皇仁書院,香港銅鑼灣高士威道120號,B05,VICTORIA PARK,B0501,Queen’s College,"120 Causeway Road, Causeway Bay, Hong Kong",22.2814465,114.1913558,大坑 (B07),22.2815,114.1913
1027,2019,B06,天后,2059,B0601,保良局建造商會學校,香港天后天后廟道62號,B06,TIN HAU,B0601,HKCA Po Leung Kuk School,"62 Tin Hau Temple Road, Tin Hau, Hong Kong",22.2843608,114.1937476,天后 (B06),22.28442,114.19392
1028,2019,B06,天后,2059,B0602,勵德邨邨榮樓有蓋停車場,香港大坑勵德邨道34號勵德邨,B06,TIN HAU,B0602,"Covered Carpark of Tsuen Wing Lau, Lai Tak Tsuen","Lai Tak Tsuen, 34 Lai Tak Tsuen Road, Tai Hang, Hong Kong",22.2779119,114.194421,天后 (B06),22.27766,114.19466
1029,2019,B07,大坑,2060,B0701,港灣婦女會,香港銅鑼灣摩頓台,B07,TAI HANG,B0701,Wan Chai District Women's Association,"Moreton Terrace, Causeway Bay, Hong Kong",22.2795036,114.1890613,大坑 (B07),22.27913,114.18906
1030,2019,B08,渣甸山,2061,B0801,中華基督教會公理高中書院,香港銅鑼灣大坑徑17號,B08,JARDINE'S LOOKOUT,B0801,CCC Kung Lee College,"17 Tai Hang Drive, Causeway Bay, Hong Kong",22.274712,114.1940887,渣甸山 (B08),22.27469,114.1937
1031,2019,B09,樂活,2062,B0901,禮頓山社區會堂,香港跑馬地黃泥涌道133號,B09,BROADWOOD,B0901,Leighton Hill Community Hall,"133 Wong Nai Chung Road, Happy Valley, Hong Kong",22.2753088,114.1832747,樂活 (B09),22.27528,114.18328
1032,2019,B10,跑馬地,2063,B1001,黃泥涌體育館,香港跑馬地毓秀街2號黃泥涌市政大廈6樓,B10,HAPPY VALLEY,B1001,Wong Nai Chung Sports Centre,"6/F, Wong Nai Chung Municipal Services Building, 2 Yuk Sau Street, Happy Valley, Hong Kong",22.2691289,114.1856805,跑馬地 (B10),22.26894,114.18576
1033,2019,B11,司徒拔道,2064,B1101,瑪利曼中學,香港跑馬地藍塘道123號,B11,STUBBS ROAD,B1101,Marymount Secondary School,"123 Blue Pool Road, Happy Valley, Hong Kong",22.2636177,114.1905199,司徒拔道 (B11),22.2638,114.19031
1034,2019,B11,司徒拔道,2064,B1102,香港青少年服務處成和青少年中心,香港跑馬地桂成里20號誠和閣地下,B11,STUBBS ROAD,B1102,Hong Kong Children & Youth Services Sing Woo Children & Youth Centre,"G/F, 20 Kwai Sing Lane, Happy Valley, Hong Kong",22.267364,114.1868032,跑馬地 (B10),22.26735,114.18654
1035,2019,B12,修頓,2065,B1201,灣仔郵政局,香港灣仔皇后大道東197-213號胡忠大廈2樓,B12,SOUTHORN,B1201,Wan Chai Post Office,"2/F, Wu Chung House, 197-213 Queen's Road East, Wan Chai, Hong Kong",22.2742779,114.1727501,修頓 (B12),22.27428,114.1727
1036,2019,B13,大佛口,2066,B1301,循道衛理中心,香港灣仔軒尼詩道22號2樓,B13,TAI FAT HAU,B1301,Methodist Centre,"2/F, 22 Hennessy Road, Wan Chai, Hong Kong",22.2774932,114.168956,大佛口 (B13),22.27748,114.16892
1037,2019,C01,太古城西,2067,C0101,東區少年警訊會所,香港太古城太裕路5號興安閣平台512-513號,C01,TAI KOO SHING WEST,C0101,Eastern District JPC Club House,"Shop P512-513, Hing On Mansion, 5 Tai Yue Avenue, Taikoo Shing, Hong Kong",22.2863742,114.2140824,太古城西 (C01),22.28652,114.21407
1038,2019,C01,太古城西,2067,C0102,太古城郵政局,香港太古城太豐路1至3號金星閣地下G1020至1022號,C01,TAI KOO SHING WEST,C0102,Tai Koo Shing Post Office,"Shop G1020-1022, G/F, Kam Sing Mansion, 1-3 Tai Fung Avenue, Taikoo Shing, Hong Kong",22.2866975,114.2187656,太古城東 (C02),22.28669,114.2187
1039,2019,C02,太古城東,2068,C0201,聖安娜中英文幼稚園,香港鰂魚涌太古城太榮路2號南海閣平台,C02,TAI KOO SHING EAST,C0201,St. Anna Anglo-Chinese Kindergarten,"Podium, Nam Hoi Mansion, 2 Tai Wing Avenue, Taikoo Shing, Quarry Bay, Hong Kong",22.2863928,114.2202422,太古城東 (C02),22.28641,114.22024
1040,2019,C02,太古城東,2068,C0202,地利亞(加拿大)學校,香港鰂魚涌太古城太豐路,C02,TAI KOO SHING EAST,C0202,Delia School of Canada,"Tai Fung Avenue, Taikoo Shing, Hong Kong",22.286193,114.2181877,太古城東 (C02),22.28702,114.2187
1041,2019,C03,鯉景灣,2069,C0301,港島東體育館,香港西灣河愛秩序灣鯉景道52號,C03,LEI KING WAN,C0301,Island East Sports Centre,"52 Lei King Road, Aldrich Bay, Sai Wan Ho, Hong Kong",22.2846754,114.2222855,鯉景灣 (C03),22.28471,114.22227
1042,2019,C04,西灣河,2070,C0401,西灣河體育館,香港西灣河筲箕灣道111號2樓,C04,SAI WAN HO,C0401,Sai Wan Ho Sports Centre,"2/F, 111 Shau Kei Wan Road, Sai Wan Ho, Hong Kong",22.2825488,114.2227922,西灣河 (C04),22.28206,114.22267
1043,2019,C05,愛秩序灣,2071,C0501,中華基督教會基灣小學 (愛蝶灣),香港筲箕灣愛信道39號,C05,ALDRICH BAY,C0501,CCC Kei Wan Primary School (Aldrich Bay),"39 Oi Shun Road, Shau Kei Wan, Hong Kong",22.2812995,114.2260006,愛秩序灣 (C05),22.28123,114.22592
1044,2019,C06,筲箕灣,2072,C0601,筲箕灣郵政局,香港筲箕灣寶文街1號峻峰花園地下,C06,SHAUKEIWAN,C0601,Shau Kei Wan Post Office,"G/F, Perfect Mount Gardens, 1 Po Man Street, Shau Kei Wan, Hong Kong",22.2788807,114.2290307,筲箕灣 (C06),22.27874,114.2291
1045,2019,C07,阿公岩,2073,C0701,愛秩序灣官立小學,香港筲箕灣愛禮街1號,C07,A KUNG NGAM,C0701,Aldrich Bay Government Primary School,"1 Oi Lai Street, Shau Kei Wan, Hong Kong",22.2825598,114.2285083,阿公岩 (C07),22.28253,114.22849
1046,2019,C07,阿公岩,2073,C0702,筲箕灣官立小學,香港筲箕灣筲箕灣東大街19號,C07,A KUNG NGAM,C0702,Shau Kei Wan Government Primary School,"19 Shau Kei Wan Main Street East, Shau Kei Wan, Hong Kong",22.28106,114.2308303,阿公岩 (C07),22.28105,114.23094
1047,2019,C08,杏花邨,2074,C0801,嶺南中學,香港杏花邨盛康里6號,C08,HENG FA CHUEN,C0801,Lingnan Secondary School,"6 Shing Hong Lane, Heng Fa Chuen, Hong Kong",22.279627,114.239109,杏花邨 (C08),22.27929,114.23928
1048,2019,C09,翠灣,2075,C0901,聖公會李福慶中學,香港柴灣翠灣街翠灣邨,C09,TSUI WAN,C0901,SKH Li Fook Hing Secondary School,"Tsui Wan Estate,Tsui Wan Street, Chai Wan, Hong Kong",22.2684249,114.2399336,翠灣 (C09),22.26782,114.23951
1049,2019,C10,欣藍,2076,C1001,中華基金中學,香港柴灣小西灣富欣道9號,C10,YAN LAM,C1001,The Chinese Foundation Secondary School,"9 Harmony Road, Siu Sai Wan, Chai Wan, Hong Kong",22.2643143,114.2494373,欣藍 (C10),22.26431,114.24945
1050,2019,C11,小西灣,2077,C1101,小西灣社區會堂,香港柴灣小西灣道15號小西灣綜合大樓地下,C11,SIU SAI WAN,C1101,Siu Sai Wan Community Hall,"G/F, Siu Sai Wan Complex, 15 Siu Sai Wan Road, Chai Wan, Hong Kong",22.2633686,114.2495013,小西灣 (C11),22.26357,114.24955
1051,2019,C12,景怡,2078,C1201,嶺南衡怡紀念中學,香港柴灣小西灣道31號,C12,KING YEE,C1201,Lingnan Hang Yee Memorial Secondary School,"31 Siu Sai Wan Road, Chai Wan, Hong Kong",22.263466,114.2511698,景怡 (C12),22.26377,114.251
1052,2019,C13,環翠,2079,C1301,救世軍中原慈善基金學校,香港柴灣華廈街9號,C13,WAN TSUI,C1301,The Salvation Army Centaline Charity Fund School,"9 Wah Ha Street, Chai Wan, Hong Kong",22.2620227,114.2375405,環翠 (C13),22.26194,114.23743
1053,2019,C14,翡翠,2080,C1401,文理書院 (香港),香港柴灣萃文道4號,C14,FEI TSUI,C1401,Cognitio College (Hong Kong),"4 Sui Man Road, Chai Wan, Hong Kong",22.262039,114.2337094,翡翠 (C14),22.26165,114.23361
1054,2019,C15,柏架山,2081,C1501,鰂魚涌體育館,香港鰂魚涌街38號鰂魚涌市政大廈7樓,C15,MOUNT PARKER,C1501,Quarry Bay Sports Centre,"7/F, Quarry Bay Municipal Services Building, 38 Quarry Bay Street, Hong Kong",22.283694,114.211779,柏架山 (C15),22.28389,114.21176
1055,2019,C16,寶馬山,2082,C1601,閩僑中學,香港北角雲景道81號,C16,BRAEMAR HILL,C1601,Man Kiu College,"81 Cloud View Road, North Point, Hong Kong",22.2873209,114.1999941,寶馬山 (C16),22.28769,114.19964
1056,2019,C17,炮台山,2083,C1701,金文泰中學,香港北角炮台山道30號,C17,FORTRESS HILL,C1701,Clementi Secondary School,"30 Fortress Hill Road, North Point, Hong Kong",22.2875162,114.1948854,炮台山 (C17),22.2879,114.19519
1057,2019,C18,城市花園,2084,C1801,銅鑼灣社區中心,香港銅鑼灣福蔭道7號銅鑼灣社區中心3樓禮堂,C18,CITY GARDEN,C1801,Causeway Bay Community Centre,"Community Hall, 3/F, Causeway Bay Community Centre, 7 Fook Yum Road, Causeway Bay, Hong Kong",22.2884654,114.1910772,城市花園 (C18),22.28845,114.19105
1058,2019,C19,和富,2085,C1901,渣華道體育館,香港北角渣華道99號渣華道市政大廈3樓,C19,PROVIDENT,C1901,Java Road Sports Centre,"3/F, Java Road Municipal Services Building, 99 Java Road, North Point, Hong Kong",22.292286,114.199478,和富 (C19),22.29238,114.19992
1059,2019,C20,堡壘,2086,C2001,北角衞理小學舊址,香港北角長康街19號,C20,FORT STREET,C2001,Former Site of North Point Methodist Primary School,"19 Cheung Hong Street, North Point, Hong Kong",22.2890901,114.1959826,炮台山 (C17),22.28891,114.1959
1060,2019,C21,錦屏,2087,C2101,香港遊樂場協會賽馬會北角港運城青少年綜合服務中心,香港北角丹拿道53號港運城2樓,C21,KAM PING,C2101,HKPA Jockey Club North Point Island Place Integrated Service Centre for Children and Youth,"2/F, Island Place, 53 Tanner Road, North Point, Hong Kong",22.290972,114.202643,錦屏 (C21),22.29108,114.20242
1061,2019,C22,丹拿,2088,C2201,啟基學校 (港島),香港北角馬寶道82號,C22,TANNER,C2201,Chan's Creative School (Hong Kong Island),"82 Marble Road, North Point, Hong Kong",22.291978,114.2026644,健康村 (C23),22.29186,114.20275
1062,2019,C23,健康村,2089,C2301,丹拿山循道學校,香港北角百福道4號,C23,HEALTHY VILLAGE,C2301,"Chinese Methodist School, Tanner Hill","4 Pak Fuk Road, North Point, Hong Kong",22.2907361,114.2051491,健康村 (C23),22.29068,114.20517
1063,2019,C24,鰂魚涌,2090,C2401,北角官立小學,香港鰂魚涌英皇道888號,C24,QUARRY BAY,C2401,North Point Government Primary School,"888 King's Road, Quarry Bay, Hong Kong",22.2887759,114.2095609,健康村 (C23),22.2889,114.20942
1064,2019,C25,南豐,2091,C2501,鰂魚涌社區會堂,香港鰂魚涌基利路1號鰂魚涌社區綜合大樓地下,C25,NAM FUNG,C2501,Quarry Bay Community Hall,"G/F, Quarry Bay Community Complex, 1 Greig Road, Quarry Bay, Hong Kong",22.28375,114.2139985,康山 (C27),22.28374,114.21398
1065,2019,C26,康怡,2092,C2601,佛教中華康山學校,香港鰂魚涌康愉街2號,C26,KORNHILL,C2601,Buddhist Chung Wah Kornhill Primary School,"2 Hong Yue Street, Quarry Bay, Hong Kong",22.2809532,114.2138335,康怡 (C26),22.28083,114.21387
1066,2019,C27,康山,2093,C2701,太古小學,香港鰂魚涌英皇道1100號,C27,KORNHILL GARDEN,C2701,Taikoo Primary School,"1100 King's Road, Quarry Bay, Hong Kong",22.2839304,114.2148551,康山 (C27),22.28394,114.21483
1067,2019,C28,興東,2094,C2801,青松興東幼稚園,香港筲箕灣興東邨興祖樓地下,C28,HING TUNG,C2801,Ching Chung Hing Tung Kindergarten,"G/F, Hing Cho House, Hing Tung Estate, Shau Kei Wan, Hong Kong",22.281684,114.2198321,興東 (C28),22.28154,114.21931
1068,2019,C28,興東,2094,C2802,伊斯蘭徐錦享紀念幼稚園,香港筲箕灣東熹苑景熹閣地下,C28,HING TUNG,C2802,Islamic Abu Bakar Chui Memorial Kindergarten,"G/F, King Hei House, Tung Hei Court, Shau Kei Wan, Hong Kong",22.279862,114.217933,興東 (C28),22.28019,114.21844
1069,2019,C29,下耀東,2095,C2901,勵志會梁李秀娛紀念小學,香港筲箕灣耀興道25號,C29,LOWER YIU TUNG,C2901,The Endeavourers Leung Lee Sau Yu Memorial Primary School,"25 Yiu Hing Road, Shau Kei Wan, Hong Kong",22.2763586,114.2269294,下耀東 (C29),22.2766,114.227
1070,2019,C29,下耀東,2095,C2902,筲箕灣街坊福利事務促進會有限公司,香港筲箕灣南安街103號地下,C29,LOWER YIU TUNG,C2902,Shau Kei Wan Kai-fong Welfare Advancement Association Ltd.,"G/F, 103 Nam On Street, Shau Kei Wan, Hong Kong",22.2800174,114.2259774,下耀東 (C29),22.28,114.22595
1071,2019,C30,上耀東,2096,C3001,新家園協會賽馬會港島東服務中心,香港筲箕灣耀東邨耀樂樓B翼地下4號,C30,UPPER YIU TUNG,C3001,New Home Association Jockey Club Hong Kong East Service Centre,"Unit 4, G/F, Wing B, Yiu Lok House, Yiu Tung Estate, Shau Kei Wan, Hong Kong",22.2782842,114.2213567,上耀東 (C30),22.27832,114.22138
