id,name_zh,name_en,election_type,person_id,matched,year,cacode,constituency_id,age,political_affiliation,camp,candidate_number,occupation,nominated_at,nominate_status,votes,vote_percentage,is_won
1,李萬權,,ordinary,2108,1,1999,A01,1,38,民建聯,建制,,電訊工程經理,,,546,31.4,FALSE
2,阮品強,YUEN BUN KEUNG,ordinary,2181,1,1999,A01,1,56,民主黨,民主,,中學教師,,,1179,67.9,TRUE
3,王敏賢,,ordinary,2183,1,1999,A02,2,54,港進聯,建制,,大學高級講師,,,851,43.9,FALSE
4,郭家麒,KWOK KA KI,ordinary,2109,1,1999,A02,2,38,,民主,,醫生,,,1074,55.4,TRUE
5,蘇麗仙,,ordinary,2158,1,1999,A03,3,36,民建聯,建制,,保險營業經理,,,402,28.1,FALSE
6,鄭麗琼,CHENG LAI KING,ordinary,2250,1,1999,A03,3,40,民主黨,民主,,社區工作主任,,,1014,70.9,TRUE
7,田北俊,,ordinary,2270,1,1999,A04,4,52,自由黨,建制,,公司主席,,,774,64.9,TRUE
8,梁永安,LEUNG WING ON LOUIS,ordinary,2182,1,1999,A04,4,39,,建制,,執業會計師,,,412,34.5,FALSE
9,陳捷貴,CHAN CHIT KWAI,ordinary,2228,1,1999,A05,5,50,,建制,,大學宿舍經理,,,,,TRUE
10,楊位款,YEUNG WAI FOON,ordinary,2106,1,1999,A06,6,43,民建聯,建制,,銀行副經理,,,1217,52.7,TRUE
11,陳國樑,,ordinary,2184,1,1999,A06,6,33,民主黨,民主,,市政局議員,,,1079,46.7,FALSE
12,莫佩嫺,,ordinary,2272,1,1999,A07,7,26,,民主,,社區工作主任,,,1141,42,FALSE
13,葉國謙,IP KWOK HIM,ordinary,2180,1,1999,A07,7,48,民建聯,建制,,校長助理,,,1552,57.1,TRUE
14,陳特楚,CHAN TAK CHOR,ordinary,2157,1,1999,A08,8,54,自由黨,建制,,行政董事,,,,,TRUE
15,林其盛,LAM KEE SHING,ordinary,2110,1,1999,A09,9,29,民主黨,民主,,專業保險顧問,,,1157,47.5,FALSE
16,黃哲民,WONG CHIT MAN,ordinary,2226,1,1999,A09,9,41,民建聯,建制,,銀行副經理,,,1262,51.8,TRUE
17,陳財喜,CHAN CHOI HI,ordinary,2227,1,1999,A10,10,43,,其他,,董事,,,1309,48.2,TRUE
18,黃澤禮,,ordinary,2271,1,1999,A10,10,26,民主黨,民主,,會計秘書,,,762,28,FALSE
19,李躍進,,ordinary,2252,1,1999,A10,10,41,民建聯,建制,,公司東主,,,632,23.2,FALSE
20,黎國雄,LAI KWOK HUNG,ordinary,2253,1,1999,A11,11,41,,其他,,教育行政人員,,,1248,49.7,TRUE
21,陳耀強,CHAN YIU KEUNG,ordinary,2358,1,1999,A11,11,48,民建聯,建制,,行政人員,,,1243,49.5,FALSE
22,袁照興,,ordinary,2249,1,1999,A12,12,46,民建聯,建制,,行政人員,,,688,31.7,FALSE
23,甘乃威,KAM NAI WAI,ordinary,2159,1,1999,A12,12,39,民主黨,民主,,社區工作主任,,,1468,67.7,TRUE
24,鄭志強,,ordinary,2273,1,1999,A13,13,31,民建聯,建制,,議員助理,,,487,34.9,FALSE
25,何俊麒,HO CHUN KI,ordinary,2107,1,1999,A13,13,42,民主黨,民主,,見習律師,,,898,64.3,TRUE
26,唐偉源,TONG WAI YUEN,ordinary,2289,1,1999,A14,14,36,民建聯,建制,,行政人員,,,739,40.4,FALSE
27,梁耀祖,LEUNG YIU CHO HENRY,ordinary,2187,1,1999,A14,14,26,民主黨,民主,,見習律師,,,1063,58.1,TRUE
28,戴卓賢,TAI CHEUK YIN LESLIE SPENCER,ordinary,2160,1,1999,A15,15,38,一二三,民主,,文化出版,,,1096,51.7,TRUE
29,溫祖堯,,ordinary,2255,1,1999,A15,15,40,民主黨,民主,,印刷商人,,,983,46.4,FALSE
30,黃漢清,,ordinary,2186,1,1999,B01,16,46,華革會,建制,,成本工程師,,,,,TRUE
31,鄭琴淵,TANG KING YUNG ANNA,ordinary,2185,1,1999,B02,17,53,民建聯,建制,,全職議員,,,,,TRUE
32,孫啟昌,SUEN KAI CHEONG,ordinary,2229,1,1999,B03,18,45,民建聯,建制,,社團活動中心總幹事,,,,,TRUE
33,李兆富,,ordinary,2161,1,1999,B04,19,23,自由黨,建制,,議員助理,,,289,16.8,FALSE
34,謝永齡,TSE WING LING JOHN,ordinary,2251,1,1999,B04,19,45,民主黨,民主,,大學副教授,,,783,45.6,TRUE
35,李均頤,LEE KWUN YEE KENNY,ordinary,2288,1,1999,B04,19,30,民建聯,建制,,公司常務董事,,,630,36.7,FALSE
36,李慶偉,LEE HING WAI BONSON,ordinary,2357,1,1999,B05,20,40,民主黨,民主,,社會工作者,,,877,51.8,TRUE
37,阮鎮泉,YUEN CHUN CHUEN,ordinary,2230,1,1999,B05,20,49,民建聯,建制,,酒店經理,,,801,47.3,FALSE
38,曹聖玉,"TSO Shing-yuk, Alice",ordinary,2163,1,1999,B06,21,50,,建制,,護理總經理,,,,,TRUE
39,黃英琦,WONG ADA YING KAY,ordinary,2254,1,1999,B07,22,40,自由黨,建制,,律師,,,883,67.5,TRUE
40,龐可榮,PONG HO WING,ordinary,2274,1,1999,B07,22,52,,其他,,牙科醫生,,,398,30.4,FALSE
41,吳錦津,NG KAM CHUN,ordinary,2256,1,1999,B08,23,48,,建制,,公司董事,,,1398,82.5,TRUE
42,鄧平,,ordinary,2290,1,1999,B08,23,48,民主黨,民主,,市務經理,,,285,16.8,FALSE
43,馮國輝,,ordinary,2360,1,1999,B09,24,46,,建制,,專欄作家,,,766,43.2,TRUE
44,李建賢,LI KIN YIN,ordinary,2190,1,1999,B09,24,46,民主黨,民主,,社會工作,,,318,17.9,FALSE
45,周梁淑怡,,ordinary,2188,1,1999,B09,24,54,自由黨,建制,,立法會議員,,,683,38.5,FALSE
46,林貝聿嘉,,ordinary,2111,1,1999,B10,25,71,,建制,,全職議員,,,,,TRUE
47,蘇繼權,,ordinary,2359,1,1999,B11,26,48,民主黨,民主,,會計顧問,,,540,29.5,FALSE
48,盧天送,LO TIN SOWN,ordinary,2231,1,1999,B11,26,54,民建聯,建制,,銀行副經理,,,1275,69.7,TRUE
49,羅友聖,SALAROLI GIUSEPPE,ordinary,2189,1,1999,C01,27,63,,其他,,房屋管理顧問,,,,,TRUE
