name,council_year,meet_year,councilor_id,district_id,meet_name,meet_type,attended,total
吳仕福,2015,2019,288,15,區議會,定期,3,3
凌文海,2015,2019,289,15,區議會,定期,3,3
區能發,2015,2019,290,15,區議會,定期,3,3
陳繼偉,2015,2019,291,15,區議會,定期,3,3
陳博智,2015,2019,292,15,區議會,定期,3,3
周賢明,2015,2019,293,15,區議會,定期,3,3
張展鵬,2015,2019,294,15,區議會,定期,3,3
張美雄,2015,2019,295,15,區議會,定期,3,3
莊元苳,2015,2019,296,15,區議會,定期,3,3
鍾錦麟,2015,2019,297,15,區議會,定期,3,3
范國威,2015,2019,298,15,區議會,定期,3,3
方國珊,2015,2019,299,15,區議會,定期,2,3
邱戊秀,2015,2019,300,15,區議會,定期,3,3
何民傑,2015,2019,301,15,區議會,定期,3,3
簡兆祺,2015,2019,302,15,區議會,定期,3,3
黎銘澤,2015,2019,303,15,區議會,定期,3,3
林少忠,2015,2019,304,15,區議會,定期,3,3
劉啟康,2015,2019,305,15,區議會,定期,1,1
劉偉章,2015,2019,306,15,區議會,定期,3,3
梁里,2015,2019,307,15,區議會,定期,3,3
李家良,2015,2019,308,15,區議會,定期,3,3
呂文光,2015,2019,309,15,區議會,定期,3,3
陸平才,2015,2019,310,15,區議會,定期,3,3
譚領律,2015,2019,311,15,區議會,定期,3,3
謝正楓,2015,2019,312,15,區議會,定期,3,3
温啟明,2015,2019,313,15,區議會,定期,3,3
温悦昌,2015,2019,314,15,區議會,定期,3,3
王水生,2015,2019,315,15,區議會,定期,3,3
邱玉麟,2015,2019,316,15,區議會,定期,3,3
成漢强,2015,2019,317,15,區議會,定期,2,2
吳仕福,2015,2019,288,15,區議會,特別,1,1
凌文海,2015,2019,289,15,區議會,特別,0,1
區能發,2015,2019,290,15,區議會,特別,0,1
陳繼偉,2015,2019,291,15,區議會,特別,1,1
陳博智,2015,2019,292,15,區議會,特別,1,1
周賢明,2015,2019,293,15,區議會,特別,1,1
張展鵬,2015,2019,294,15,區議會,特別,1,1
張美雄,2015,2019,295,15,區議會,特別,1,1
莊元苳,2015,2019,296,15,區議會,特別,1,1
鍾錦麟,2015,2019,297,15,區議會,特別,1,1
范國威,2015,2019,298,15,區議會,特別,1,1
方國珊,2015,2019,299,15,區議會,特別,1,1
邱戊秀,2015,2019,300,15,區議會,特別,1,1
何民傑,2015,2019,301,15,區議會,特別,1,1
簡兆祺,2015,2019,302,15,區議會,特別,1,1
黎銘澤,2015,2019,303,15,區議會,特別,1,1
林少忠,2015,2019,304,15,區議會,特別,1,1
劉啟康,2015,2019,305,15,區議會,特別,1,1
劉偉章,2015,2019,306,15,區議會,特別,1,1
梁里,2015,2019,307,15,區議會,特別,1,1
李家良,2015,2019,308,15,區議會,特別,1,1
呂文光,2015,2019,309,15,區議會,特別,1,1
陸平才,2015,2019,310,15,區議會,特別,0,1
譚領律,2015,2019,311,15,區議會,特別,1,1
謝正楓,2015,2019,312,15,區議會,特別,1,1
温啟明,2015,2019,313,15,區議會,特別,1,1
温悦昌,2015,2019,314,15,區議會,特別,1,1
王水生,2015,2019,315,15,區議會,特別,1,1
邱玉麟,2015,2019,316,15,區議會,特別,1,1
吳仕福,2015,2019,288,15,地區設施管理委員會,定期,3,3
凌文海,2015,2019,289,15,地區設施管理委員會,定期,2,3
區能發,2015,2019,290,15,地區設施管理委員會,定期,3,3
陳繼偉,2015,2019,291,15,地區設施管理委員會,定期,3,3
陳博智,2015,2019,292,15,地區設施管理委員會,定期,3,3
周賢明,2015,2019,293,15,地區設施管理委員會,定期,2,3
張展鵬,2015,2019,294,15,地區設施管理委員會,定期,3,3
張美雄,2015,2019,295,15,地區設施管理委員會,定期,3,3
莊元苳,2015,2019,296,15,地區設施管理委員會,定期,3,3
鍾錦麟,2015,2019,297,15,地區設施管理委員會,定期,3,3
范國威,2015,2019,298,15,地區設施管理委員會,定期,3,3
方國珊,2015,2019,299,15,地區設施管理委員會,定期,2,3
邱戊秀,2015,2019,300,15,地區設施管理委員會,定期,3,3
何民傑,2015,2019,301,15,地區設施管理委員會,定期,3,3
簡兆祺,2015,2019,302,15,地區設施管理委員會,定期,3,3
黎銘澤,2015,2019,303,15,地區設施管理委員會,定期,3,3
林少忠,2015,2019,304,15,地區設施管理委員會,定期,3,3
劉啟康,2015,2019,305,15,地區設施管理委員會,定期,1,1
劉偉章,2015,2019,306,15,地區設施管理委員會,定期,3,3
梁里,2015,2019,307,15,地區設施管理委員會,定期,3,3
李家良,2015,2019,308,15,地區設施管理委員會,定期,3,3
呂文光,2015,2019,309,15,地區設施管理委員會,定期,3,3
陸平才,2015,2019,310,15,地區設施管理委員會,定期,3,3
譚領律,2015,2019,311,15,地區設施管理委員會,定期,2,3
謝正楓,2015,2019,312,15,地區設施管理委員會,定期,3,3
温啟明,2015,2019,313,15,地區設施管理委員會,定期,3,3
温悦昌,2015,2019,314,15,地區設施管理委員會,定期,3,3
王水生,2015,2019,315,15,地區設施管理委員會,定期,3,3
邱玉麟,2015,2019,316,15,地區設施管理委員會,定期,3,3
成漢强,2015,2019,317,15,地區設施管理委員會,定期,2,2
