"id","name_zh","name_en","election_type","person_id","matched","year","cacode","constituency_id","age","political_affiliation","camp","candidate_number","occupation","nominated_at","nominate_status","votes","vote_percentage","is_won"
4406,"許智峯","","ordinary",1014,,2019,"A01",,,"民主黨","民主",,"立法會、區議會議員","2019-10-04","nominated",0,0,false
4407,"黃鐘蔚","","ordinary",2730,,2019,"A01",,," ","建制",," ","2019-10-09","nominated",0,0,false
4408,"莫淦森","","ordinary",2454,,2019,"A02",,,"民主建港協進聯盟","建制",,"立法會議員助理","2019-10-04","nominated",0,0,false
4409,"吳兆康","","ordinary",1698,,2019,"A02",,,"民主黨","民主",,"區議員","2019-10-08","nominated",0,0,false
4410,"鄭麗琼","","ordinary",2250,,2019,"A03",,,"民主黨","民主",,"中西區區議員、註冊社會工作者","2019-10-04","nominated",0,0,false
4411,"馮家亮","","ordinary",2455,,2019,"A03",,,"自由黨","建制",,"商人","2019-10-04","nominated",0,0,false
4412,"楊哲安","","ordinary",1898,,2019,"A04",,,"自由黨","建制",,"公司董事","2019-10-04","nominated",0,0,false
4413,"歐頌賢","","ordinary",2456,,2019,"A05",,," ","其他",," ","2019-10-04","nominated",0,0,false
4414,"任嘉兒","","ordinary",2458,,2019,"A05",,," ","民主",,"註冊護士","2019-10-08","nominated",0,0,false
4415,"陳㨗貴","","ordinary",2459,,2019,"A05",,,"獨立候選人",,,"物業管理經理","2019-10-08","nominated",0,0,false
4416,"楊開永","","ordinary",2058,,2019,"A06",,,"民主建港協進聯盟","建制",," ","2019-10-04","nominated",0,0,false
4417,"梁晃維","","ordinary",2460,,2019,"A06",,,"獨立","民主",,"大學生","2019-10-08","nominated",0,0,false
4418,"陳學鋒","","ordinary",776,,2019,"A07",,,"民主建港協進聯盟","建制",,"銀行從業員","2019-10-04","nominated",0,0,false
4419,"黃健菁","","ordinary",2461,,2019,"A07",,,"民主動力","民主",,"獨立理財顧問","2019-10-08","nominated",0,0,false
4420,"張國鈞","","ordinary",829,,2019,"A08",,,"民建聯","建制",,"律師","2019-10-04","nominated",0,0,false
4421,"彭家浩","","ordinary",2462,,2019,"A08",,,"民主派","民主",,"社區主任","2019-10-08","nominated",0,0,false
4422,"楊浩然","","ordinary",2243,,2019,"A09",,,"民主黨","民主",,"律師","2019-10-04","nominated",0,0,false
4423,"陳財喜","","ordinary",2227,,2019,"A10",,," ","建制",,"中西區區議員","2019-10-05","nominated",0,0,false
4424,"葉錦龍","","ordinary",1890,,2019,"A10",,," ","民主",,"項目統籌","2019-10-08","nominated",0,0,false
4425,"劉天正","","ordinary",2463,,2019,"A11",,,"民主建港協進聯盟","建制",,"企業傳訊主任","2019-10-04","nominated",0,0,false
4426,"黃永志","","ordinary",2464,,2019,"A11",,," ","民主",,"社區工作者","2019-10-08","nominated",0,0,false
4427,"甘乃威","","ordinary",2159,,2019,"A12",,,"民主黨","民主",,"中西區區議員、註冊社工","2019-10-04","nominated",0,0,false
4428,"呂鴻賓","","ordinary",1800,,2019,"A12",,,"工聯會","建制",," ","2019-10-04","nominated",0,0,false
4429,"伍凱欣","","ordinary",598,,2019,"A13",,,"民主黨","民主",,"中西區區議員","2019-10-04","nominated",0,0,false
4430,"張嘉恩","","ordinary",2465,,2019,"A13",,,"民主建港協進聯盟","建制",,"會計","2019-10-04","nominated",0,0,false
4431,"張啟昕","","ordinary",1584,,2019,"A14",,,"民主黨","民主",,"項目主任","2019-10-08","nominated",0,0,false
4432,"李志恒","","ordinary",124,,2019,"A14",,," ","建制",,"執業律師","2019-10-09","nominated",0,0,false
4433,"楊學明","","ordinary",164,,2019,"A15",,,"民建聯","建制",,"業務拓展總監","2019-10-04","nominated",0,0,false
4434,"何致宏","","ordinary",2466,,2019,"A15",,,"民主派","民主",,"工程公司行政人員","2019-10-08","nominated",0,0,false
4435,"夏希諾","","ordinary",1757,,2019,"B01",,,"獨立","民主",,"社區主任","2019-10-08","nominated",0,0,false
4436,"顧國慧","","ordinary",2731,,2019,"B01",,,"獨立候選人","民主",,"室內建設規劃","2019-10-09","nominated",0,0,false
4437,"穆家駿","","ordinary",2467,,2019,"B02",,,"民建聯","建制",,"中學教師","2019-10-05","nominated",0,0,false
4438,"羅偉珊","","ordinary",2732,,2019,"B02",,,"獨立候選人","民主",,"藝術行政經理","2019-10-09","nominated",0,0,false
